nCFe,dEmi,hEmi,xProd,qCom,vUnCom,vProd
041787,20240712,094028,Croissant,1.0000,9.000,9.00
041787,20240712,094028,Croissant,1.0000,9.000,9.00
041787,20240712,094028,Croissant,1.0000,9.000,9.00
041787,20240712,094028,PAO DA CASA,1.0000,15.000,15.00
042334,20240724,124703,PAO DA CASA,1.0000,15.000,15.00
041953,20240716,113215,PAO DA CASA,2.0000,15.000,30.00
041953,20240716,113215,Pao de queijo 12 UNID,1.0000,25.000,25.00
041953,20240716,113215,PAO MULTIGRAOS,1.0000,20.000,20.00
042289,20240723,152512,PAO DA CASA,1.0000,15.000,15.00
042565,20240727,144403,PAO DA CASA,1.0000,15.000,15.00
042565,20240727,144403,BRIOCHE 270g,1.0000,15.000,15.00
042295,20240723,164523,PAO MULTIGRAOS,1.0000,20.000,20.00
041874,20240713,094937,PAO DA CASA,1.0000,15.000,15.00
041874,20240713,094937,PAO DA CASA,1.0000,15.000,15.00
041874,20240713,094937,COOKIE GOTAS DE CHOCOLATE,1.0000,5.000,5.00
042117,20240719,105202,100 INTEGRAL,1.0000,17.000,17.00
042630,20240730,173722,PAO DA CASA,1.0000,15.000,15.00
042258,20240720,155549,PAO DA CASA,1.0000,15.000,15.00
042610,20240730,145011,PAO DA CASA,1.0000,15.000,15.00
042610,20240730,145011,PAO MULTIGRAOS,1.0000,20.000,20.00
041454,20240704,120844,PAO DE AZEITE E ALECRIM,1.0000,20.000,20.00
041454,20240704,120844,CINNAMON ROLL,1.0000,12.000,12.00
042682,20240731,161419,PAO DA CASA,1.0000,15.000,15.00
041603,20240706,114416,100 INTEGRAL,1.0000,17.000,17.00
041603,20240706,114416,ITALIANO,1.0000,15.000,15.00
041964,20240716,140818,100 INTEGRAL,2.0000,17.000,34.00
042314,20240724,081033,PAO DA CASA,1.0000,15.000,15.00
042436,20240726,094105,PAO DA CASA,1.0000,15.000,15.00
041866,20240713,090314,PAO DA CASA,1.0000,15.000,15.00
041866,20240713,090314,COOKIE GOTAS DE CHOCOLATE,1.0000,5.000,5.00
042142,20240719,133710,COOKIE GOTAS DE CHOCOLATE,1.0000,5.000,5.00
042142,20240719,133710,COOKIE GOTAS DE CHOCOLATE,1.0000,5.000,5.00
042622,20240730,164209,PAO DA CASA,1.0000,15.000,15.00
042063,20240718,105512,PAO DA CASA,1.0000,15.000,15.00
042063,20240718,105512,PAO DE AZEITE E ALECRIM,1.0000,20.000,20.00
042063,20240718,105512,Pao de queijo 12 UNID,1.0000,25.000,25.00
042063,20240718,105512,Pao de queijo 12 UNID,1.0000,25.000,25.00
041576,20240706,101134,PAO DE AZEITE E ALECRIM,1.0000,20.000,20.00
041576,20240706,101134,PAO DA CASA,1.0000,15.000,15.00
042342,20240724,145516,PAO DA CASA,1.0000,15.000,15.00
042342,20240724,145516,COOKIE GOTAS DE CHOCOLATE,1.0000,5.000,5.00
041435,20240704,093303,PAO DA CASA,1.0000,15.000,15.00
041435,20240704,093303,Pao de Provolone,1.0000,20.000,20.00
041928,20240713,141901,PAO DA CASA,1.0000,15.000,15.00
041928,20240713,141901,100 INTEGRAL,1.0000,17.000,17.00
041928,20240713,141901,broa de fuba,1.0000,15.000,15.00
041959,20240716,121454,100 INTEGRAL,1.0000,17.000,17.00
041959,20240716,121454,CINNAMON ROLL,1.0000,12.000,12.00
042302,20240723,170729,PAO MULTIGRAOS,1.0000,20.000,20.00
041859,20240713,083727,PAO DA CASA,1.0000,15.000,15.00
042602,20240730,132723,PAO DA CASA,1.0000,15.000,15.00
042585,20240730,090235,PAO DA CASA,1.0000,15.000,15.00
041446,20240704,105147,Pao de Provolone,1.0000,20.000,20.00
042516,20240727,095909,PAO DA CASA,1.0000,15.000,15.00
042676,20240731,151214,CINNAMON ROLL,3.0000,12.000,36.00
042676,20240731,151214,broa de fuba,2.0000,15.000,30.00
041329,20240702,104118,100 INTEGRAL,2.0000,17.000,34.00
041329,20240702,104118,CINNAMON ROLL,2.0000,12.000,24.00
041329,20240702,104118,BRIOCHE 270g,2.0000,15.000,30.00
041329,20240702,104118,broa de fuba,1.0000,15.000,15.00
042174,20240719,165916,PAO DE GORGONZOLA,1.0000,25.000,25.00
042174,20240719,165916,PAO DE CEBOLA,1.0000,20.000,20.00
